ds,y
2015-01-01,0.029373578146121505
2015-02-01,0.0266246545141269
2015-03-01,0.027216750069574958
2015-04-01,0.026859824612535613
2015-05-01,0.026772825997024366
2015-06-01,0.027321158563593934
2015-07-01,0.028411104227432468
2015-08-01,0.02791004269676585
2015-09-01,0.027397911450002012
2015-10-01,0.028534130441516887
2015-11-01,0.030902102614435125
2015-12-01,0.02996668384518137
2016-01-01,0.023487585476853097
2016-02-01,0.020639790851971644
2016-03-01,0.021650960933650543
2016-04-01,0.02148061895126952
2016-05-01,0.02371504535409181
2016-06-01,0.025768999670014732
2016-07-01,0.027085006508521595
2016-08-01,0.028667089004521893
2016-09-01,0.028879555201152086
2016-10-01,0.03061359707994211
2016-11-01,0.028154331248674787
2016-12-01,0.023400840353220948
2017-01-01,0.02054002017806822
2017-02-01,0.02162001873736362
2017-03-01,0.025525546574900568
2017-04-01,0.02647015790100444
2017-05-01,0.027551846691288073
2017-06-01,0.02857333611536443
2017-07-01,0.028475293887166492
2017-08-01,0.03052098243863557
2017-09-01,0.03313051650896771
2017-10-01,0.03718624908353914
2017-11-01,0.034764566865136265
2017-12-01,0.032186283911401874
2018-01-01,0.030940716467012637
2018-02-01,0.027873034004291416
2018-03-01,0.029060193601395383
2018-04-01,0.030018591414450985
2018-05-01,0.03191007331740546
2018-06-01,0.032206502867291716
2018-07-01,0.03399332313739362
2018-08-01,0.03184005470016885
2018-09-01,0.03213051504926209
2018-10-01,0.034709684704207835
2018-11-01,0.03567877980589782
2018-12-01,0.034843903042196436
2019-01-01,0.03039007410753735
2019-02-01,0.028552071408835367
2019-03-01,0.03019961969776432
2019-04-01,0.03282916461482541
2019-05-01,0.03313353791730463
2019-06-01,0.03465390712831414
2019-07-01,0.03503733219846225
2019-08-01,0.03736245071437121
2019-09-01,0.03720176992363554
2019-10-01,0.03983426049199647
2019-11-01,0.04198315288817808
2019-12-01,0.037486838175253306
2020-01-01,0.03329537719945338
2020-02-01,0.03265150396988469
2020-03-01,0.03317007668871482
2020-04-01,0.03541710102122254
2020-05-01,0.03713485314857648
2020-06-01,0.03962303025107283
2020-07-01,0.03848663613577943
2020-08-01,0.03897181023223796
2020-09-01,0.04200040625589981
2020-10-01,0.04355829878698992
2020-11-01,0.04093163238084846
2020-12-01,0.03674337525639474
2021-01-01,0.031624906269064536
2021-02-01,0.03123305597050883
2021-03-01,0.03336682997497944
2021-04-01,0.0339778704849294
2021-05-01,0.036636598737675684
2021-06-01,0.03803534290820361
2021-07-01,0.03748627041313823
2021-08-01,0.03935197569169524
2021-09-01,0.04049446974981372
2021-10-01,0.04243646584370464
2021-11-01,0.040347199654181085
2021-12-01,0.034804347517044726
2022-01-01,0.030446809232933806
2022-02-01,0.030953659735894284
2022-03-01,0.033866604073659816
2022-04-01,0.035850081585271074
2022-05-01,0.03517252223049609
2022-06-01,0.03583556925489791
2022-07-01,0.03657585438824689
2022-08-01,0.037926225976551875
2022-09-01,0.04126544427941334
2022-10-01,0.043431321487128895
2022-11-01,0.042576294079497035
2022-12-01,0.04194755709012413
2023-01-01,0.04034355347606083
2023-02-01,0.039616410932328164
2023-03-01,0.03907552150488405
2023-04-01,0.04224088484746105
2023-05-01,0.043065694686943226
2023-06-01,0.04332126821553405
2023-07-01,0.04311423371515597
2023-08-01,0.04325786163025696
2023-09-01,0.04234246153286984
2023-10-01,0.04435681675624485
2023-11-01,0.0468636451954388
2023-12-01,0.04567326068828738
2024-01-01,0.0394803243572952
2024-02-01,0.03609446074899033
2024-03-01,0.037579581166167955
2024-04-01,0.040043945588300496
2024-05-01,0.04172795008938848
2024-06-01,0.04215492893867227
2024-07-01,0.04317924390551662
2024-08-01,0.04481979488460822
2024-09-01,0.04571156215215719
2024-10-01,0.047027046816250494
2024-11-01,0.04534057599683681
2024-12-01,0.04278355406360869
2025-01-01,0.044156597175216
